Classifier,Accuracy,Precision,Recall,F1
MLP,0.719875525845675,0.3809001835661839,0.2710117814667035,0.2755484139502406
SVC,0.7220653489310206,0.3117695666237531,0.258348379963454,0.2502611678654281
KNN,0.6753875410591829,0.3281443103495825,0.26430092981183745,0.2673142906509151
DT,0.6924451103555581,0.3416520304341531,0.27295263112631046,0.2807031413721781
