Classifier,Accuracy,Precision,Recall,F1
MLP,0.7328992105111508,0.4492134785166593,0.3145204109563735,0.3342244441816917
SVC,0.7377974989915288,0.37048840073388517,0.30155675514405095,0.315202308916041
KNN,0.6817841295453235,0.33166337178424643,0.28980484901811293,0.29948173166537134
DT,0.6668011294876967,0.34070354734792524,0.30263833706236926,0.3152459994604959
