Classifier,Accuracy,Precision,Recall,F1
MLP,0.7667262144874085,0.5406561360861329,0.516232921290484,0.527302035934541
SVC,0.8010142338500548,0.7162075559098481,0.45208810784060643,0.49140772265802973
KNN,0.7122111450469659,0.5049497548506263,0.3567241995510549,0.386103309642381
DT,0.7442517144009682,0.494327395229121,0.49251786145014376,0.4932977482915844
