Classifier,Accuracy,Precision,Recall,F1
MLP,0.8198006108453869,0.7059689445899532,0.691396807844819,0.6983468084945471
SVC,0.8199734916152827,0.7914704890579833,0.5715050281578508,0.6391957031831463
KNN,0.683051921857892,0.6232712133007245,0.3611508965183769,0.4091424978111288
DT,0.7900074915000288,0.6875850129442541,0.642716176496653,0.6618882139575667
